id,gender,age,role,number,email,specialization
56,male,44,doctor,98123476,max@maxxy.com,NA
296,female,32,pharmacist,99887766,gina@goog.com,NA
816,male,20,doctor,24241515,samjam@gmail.com,NA
697,male,20,doctor,24241515,samjam@gmail.com,NA
296,female,32,pharmacist,99887766,gina@goog.com,NA
251,male,24,doctor,12121212,maximus@gmail.com,NA
9909,male,19,doctor,85900799,samjam@gmail.comNA
4661,male,19,doctor,88888888,samjam@gmail.comNA
3689,male,19,doctor,99999999,samjam@gmail.comcardiologist
9358,male,20,pharmacist,77777777,samjam@gmail.com,NA
2174,male,25,doctor,98981010,viv@gmail.com,NA
7505,male,24,doctor,91283230,nicedoctor@gmail.com,cardiologist
296,female,32,pharmacist,99887766,gina@goog.com,NA
9909,male,19,doctor,85900799,samjam@gmail.comNA,NA
4661,male,19,doctor,88888888,samjam@gmail.comNA,NA
3689,male,19,doctor,99999999,samjam@gmail.comcardiologist,NA
9358,male,20,pharmacist,77777777,samjam@gmail.com,NA
296,female,32,pharmacist,99887766,gina@goog.com,NA
9358,male,20,pharmacist,77777777,samjam@gmail.com,NA
296,female,32,pharmacist,99887766,gina@goog.com,NA
9358,male,20,pharmacist,77777777,samjam@gmail.com,NA
