id,name,password,role
1,Mikko,password,patient
2,Beth,password,administrator
56,Max,maxxy,doctor
296,Gina,gina,pharmacist
697,Samarth,008,doctor
62,Armaan,arm,administrator
251,Maximus,max,doctor
9909,sam,samjam,doctor
4661,sam,jam,doctor
3689,sam,jam,doctor
7990,mithun,manny,patient
3098,sam,jam,patient
5518,Joe,JoeHoe,patient
5962,Andy,abcd,patient
9358,sammy,samjam2005,pharmacist
3446,armaan,armani007,administrator
6551,sam,samjam2005,patient
8989,Jack,jackoff,patient
7908,Mithun,mithun,patient
8454,Mannan,mannan,patient
2174,Vivaan,viv,doctor
7505,nicedoctor,nicedoctor,doctor
